time,electricity_rate,indoor_temp,outdoor_temp,sleep_type
2024-12-05 02:05:00+00:00,17.871000289916992,19.8125,10.019999504089355,core
2024-12-05 02:25:00+00:00,18.059999465942383,19.8125,10.1899995803833,deep
2024-12-05 04:07:00+00:00,17.871000289916992,19.875,10.630000114440918,REM
2024-12-05 04:13:00+00:00,18.059999465942383,19.875,10.619999885559082,core
2024-12-05 04:24:00+00:00,18.059999465942383,19.9375,10.619999885559082,REM
2024-12-05 05:55:00+00:00,19.46700096130371,20.0,11.029999732971191,REM
2024-12-05 06:01:00+00:00,18.479999542236328,20.0,11.029999732971191,core
2024-12-05 06:04:00+00:00,18.479999542236328,20.0,11.029999732971191,REM
2024-12-05 06:23:00+00:00,19.46700096130371,20.0,11.239999771118164,awake
2024-12-05 06:24:00+00:00,17.871000289916992,20.0,11.40000057220459,core
2024-12-05 07:12:00+00:00,18.059999465942383,20.0625,11.989999771118164,awake
2024-12-05 07:13:00+00:00,18.059999465942383,20.0625,11.989999771118164,core
2024-12-05 07:38:00+00:00,18.059999465942383,20.125,12.279999732971191,asleep
2024-12-05 07:43:00+00:00,18.059999465942383,20.125,12.25999927520752,awake
2024-12-05 08:49:00+00:00,18.479999542236328,20.1875,13.119999885559082,awake
2024-12-05 08:50:00+00:00,18.059999465942383,20.1875,13.119999885559082,asleep
2024-12-05 08:52:00+00:00,18.059999465942383,20.1875,13.049999237060549,awake
2024-12-05 08:53:00+00:00,18.479999542236328,20.1875,13.049999237060549,asleep
2024-12-05 08:55:00+00:00,18.479999542236328,20.1875,13.049999237060549,asleep
2024-12-06 01:48:00+00:00,16.3799991607666,16.0625,9.269999504089355,core
2024-12-06 01:51:00+00:00,15.960000038146973,16.0,9.260000228881836,awake
2024-12-06 01:51:00+00:00,15.960000038146973,16.0,9.260000228881836,core
2024-12-06 02:10:00+00:00,15.960000038146973,15.875,9.130000114440918,awake
2024-12-06 02:11:00+00:00,16.36949920654297,15.875,9.130000114440918,core
2024-12-06 02:34:00+00:00,15.960000038146973,15.5625,8.920000076293945,deep
2024-12-06 02:37:00+00:00,16.36949920654297,15.5625,8.920000076293945,core
2024-12-06 02:45:00+00:00,17.639999389648438,15.4375,8.720000267028809,deep
2024-12-06 03:00:00+00:00,16.36949920654297,15.3125,8.569999694824219,core
2024-12-06 03:10:00+00:00,16.36949920654297,15.1875,8.34000015258789,REM
2024-12-06 03:12:00+00:00,16.36949920654297,15.1875,8.34000015258789,core
2024-12-06 03:13:00+00:00,16.36949920654297,15.1875,8.34000015258789,REM
2024-12-06 03:30:00+00:00,16.3799991607666,15.0625,8.269999504089355,awake
2024-12-06 03:54:00+00:00,16.36949920654297,14.8125,8.0,REM
2024-12-06 04:07:00+00:00,16.36949920654297,14.75,7.980000019073486,awake
2024-12-06 04:08:00+00:00,16.36949920654297,14.75,7.980000019073486,core
2024-12-06 04:31:00+00:00,16.36949920654297,14.5625,7.730000019073486,deep
2024-12-06 04:54:00+00:00,16.36949920654297,14.3125,7.579999923706055,core
2024-12-06 04:55:00+00:00,16.36949920654297,14.3125,7.579999923706055,awake
2024-12-06 04:55:00+00:00,16.36949920654297,14.3125,7.579999923706055,core
2024-12-06 05:08:00+00:00,16.36949920654297,14.3125,7.480000019073486,REM
2024-12-06 05:14:00+00:00,16.36949920654297,14.25,7.460000038146973,core
2024-12-06 06:08:00+00:00,16.36949920654297,13.875,7.049999713897705,REM
2024-12-06 06:11:00+00:00,16.36949920654297,13.8125,7.049999713897705,core
2024-12-06 06:33:00+00:00,16.36949920654297,13.625,7.0,REM
2024-12-06 06:34:00+00:00,15.960000038146973,13.625,7.0,core
2024-12-06 06:36:00+00:00,16.36949920654297,13.625,7.0,REM
2024-12-06 06:58:00+00:00,16.36949920654297,13.5,6.730000019073486,core
2024-12-06 08:09:00+00:00,16.36949920654297,13.125,6.239999771118164,awake
2024-12-06 08:09:00+00:00,16.36949920654297,13.125,6.239999771118164,core
2024-12-06 08:42:00+00:00,16.36949920654297,13.0625,6.309999942779541,awake
2024-12-06 08:44:00+00:00,16.36949920654297,13.0625,6.349999904632568,core
2024-12-06 08:53:00+00:00,16.3799991607666,12.9375,6.349999904632568,awake
2024-12-06 08:54:00+00:00,16.36949920654297,13.0,6.349999904632568,core
2024-12-06 09:55:00+00:00,16.36949920654297,13.0625,7.25,awake
2024-12-07 02:05:00+00:00,1.6799999475479126,16.75,12.06999969482422,core
2024-12-07 02:07:00+00:00,1.6799999475479126,16.625,12.100000381469728,awake
2024-12-07 02:10:00+00:00,8.284500122070312,16.625,12.100000381469728,core
2024-12-07 02:52:00+00:00,0.4199999868869781,15.875,11.670000076293944,core
2024-12-07 02:59:00+00:00,1.6799999475479126,15.75,11.579999923706056,deep
2024-12-07 03:47:00+00:00,1.6799999475479126,15.25,11.149999618530272,REM
2024-12-07 04:04:00+00:00,1.6799999475479126,15.25,11.059999465942385,core
2024-12-07 04:27:00+00:00,2.5199999809265137,15.0,10.889999389648438,deep
2024-12-07 04:33:00+00:00,0.4199999868869781,15.0625,10.84000015258789,core
2024-12-07 05:12:00+00:00,1.6799999475479126,14.5,10.219999313354492,deep
2024-12-07 05:13:00+00:00,1.6799999475479126,14.5,10.219999313354492,core
2024-12-07 05:26:00+00:00,1.6799999475479126,14.6875,10.050000190734863,REM
2024-12-07 05:51:00+00:00,0.4199999868869781,14.25,9.729999542236328,awake
2024-12-07 05:53:00+00:00,0.4199999868869781,14.25,9.729999542236328,core
2024-12-07 07:29:00+00:00,1.6064999103546145,13.6875,9.109999656677246,asleep
